levels,description,key_words,questions
LEVEL 1 - REMEMBERING,"Exhibit memory of previously learned material by recalling facts, terms, basic concepts, and answers.","Choose, Define, Find, How, Label, List, Match, Name, Omit, Recall, Relate, Select, Show, Spell, Tell, What, When, Where, Which, Who, why",What is...? Where is.” How did ___happen? Why did.? When did.? How would you show.? Who were the main.? Which one.? How is.? When did ___ happen? How would you explain.? How would you describe.? Can you recall.? Can you select.? Can you list the three.? Who was.?
LEVEL 2 – UNDERSTANDING,"Demonstrate understanding of facts and ideas by organizing, comparing, translating, interpreting, giving descriptions, and stating main ideas.","Classify, Compare, Contrast, Demonstrate, Explain, Extend, Illustrate, Infer, Interpret, Outline, Relate, Rephrase, Show, Summarize, translate",How would you classify...? How would you compare.? How would you contrast.? State in your own words.? Rephrase the meaning.? What facts or ideas show.? What is the main idea of.? Which statements support.? Explain what is happening.? What is meant.? What can you say about.? Which is the best answer.? How would you summarize.?
LEVEL 3 - APPLYING,"Solve problems to new situations by applying acquired knowledge, facts, techniques and rules in a different way.","Apply, Build, Choose, Construct, Develop, Experiment, with, Identify, Interview, Make, Use, Of, Model, Organize, Plan, Select, Solve, Utilize",How would you use.? What examples can you find to.? How would you solve ___ using what you've learned? How would you organize ___to show .? How would you show your understanding of .? What approach would you use to.? How would you apply what you learned to develop.? What other way would you plan to.? What would result if.? Can you make use of the facts to.? What elements would you choose to change.? What facts would you select to show.? What questions would you ask in an interview with.
LEVEL 4 - ANALYZING,Examine and break information into parts by identifying motives or causes. Make inferences and find evidence to support generalizations.,"Analyze, Assume, Categorize, Classify, Compare, Conclusion, Contrast, Discover, Dissect, Distinguish, Divide, Examine, Function, Inference, Inspect, List, Motive, Relationships, Simplify, Survey, Take, Part, In, Test, For, Theme",What are the parts of...? How is ___ related to ___...? Why do you think .? What is the theme What motive is there Can you list the parts What inference can you make What conclusions can you draw Who would you classify.? How would you categorize Can you identify What evidence can you find.? What is the relationship.? Can you distinguish between.? What is the function of.? What ideas justify.?
LEVEL 5 - EVALUATING,"Present and defend opinions by making judgements about information, validity of ideas, or quality of work based on a set of criteria","Agree, Appraise, Assess, Award, Choose, Compare, Conclude, Criteria, Criticize, Decide, Deduct, Defend, Determine, Disprove, Dispute, Estimate, Evaluate, Explain, Importance, Influence, Interpret, Judge, Justify, Measure, Opinion, Perceive, prove, Rate, Recommend, Select, support, value","Do you agree with the actions.? Do you agree with the outcome..? What is your opinion of.? How would you prove/disprove..? Assess the value/importance of? Would it be better if.? Why did they (the character) choose.? What would you recommend.? How would you rate.? How would you cite to defend the actions.? How could you determine.? What choices.? How would you prioritize.? What judgement can you make.? Based on what you know, how would you explain.? What information would you use to support the view.? How would you justify.? What data was used to make the conclusion.? What was it better than.? How would you compare the ideas? How would you compare the people.?"
LEVEL 6 - CREATING,Compile information together in a different way by combining elements in a new pattern or proposing alternative solutions.,"Adapt, Build, Change, Choose, Combine, Compile, Compose, Construct, Create, Design, Develop, Discuss, Elaborate, Estimate, Formulate, Happen, Imagine, Improve, Invent, Make, Up, Maximize, Minimize, Modify, Original, Originate, Plan, Predict, Propose, Solution, Solve, Suppose, Test, Theory",What changes would you make to solve.? How would you improve.? What would happen if.? Can you elaborate on the reason.? Can you propose an alternative..? Can you invent.? How would you adapt ___ to create a different.? How could you change (modify) the plot (plan).? What could be done to minimize/maximize.? What would you design.? What could be combined to improve (change).? Suppose you could __what would you do.? How would you test.? Can you formulate a theory for.? Can you predict the outcome if.? How would you estimate the results for.? Cab you predict the outcome if.? How would you estimate the results for.? What facts can you compile.? Construct a model that would change.? Think of an original way for the.?
